Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.375,31.375,29.875,30.0625,13.403877,572300
2000-01-04,29.5625,30.125,29.5625,30.125,13.43174,561200
2000-01-05,30.3125,31.4375,30.3125,31.0625,13.849743,378200
2000-01-06,31.0,31.375,30.6875,30.9375,13.794006,288500
2000-01-07,31.0,31.25,30.875,31.25,13.933338000000001,567300
2000-01-10,31.9375,32.125,31.3125,31.4375,14.016945000000002,632800
2000-01-11,31.3125,31.4375,31.0,31.4375,14.016945000000002,359700
2000-01-12,31.3125,31.9375,31.25,31.5625,14.072675,1021700
2000-01-13,31.6875,31.75,31.1875,31.5,14.04481,321400
2000-01-14,31.5625,31.75,31.0,31.1875,13.905477,409900
2000-01-18,31.1875,31.3125,30.5,30.8125,13.738275,251200
2000-01-19,31.0,32.125,30.875,31.875,14.212007,581500
2000-01-20,32.0,34.0625,31.875,33.875,15.103745000000002,985800
2000-01-21,34.75,37.5,33.875,37.1875,16.580676999999998,1231300
2000-01-24,39.0,41.3125,37.375,37.5625,16.747875,1822600
2000-01-25,37.625,38.0,35.25,35.75,15.939745000000002,773400
2000-01-26,35.8125,35.875,35.375,35.875,15.995472,443300
2000-01-27,35.75,35.75,34.5,35.0,15.605344,963600
2000-01-28,34.5,34.6875,33.25,33.25,14.825073999999999,394300
2000-01-31,33.625,35.0,33.375,34.75,15.493876,906000
2000-02-01,34.875,35.3125,34.6875,34.75,15.493876,637000
2000-02-02,34.4375,34.5625,33.625,33.6875,15.020139000000002,386000
2000-02-03,33.6875,34.5625,33.6875,34.25,15.270945000000001,623600
2000-02-04,34.3125,34.375,33.125,33.25,14.825073999999999,546600
2000-02-07,33.25,33.25,32.625,33.0,14.713612,372800
2000-02-08,33.1875,33.25,32.9375,33.0,14.713612,580600
2000-02-09,33.0,33.375,32.375,32.375,14.434945,521800
2000-02-10,32.625,32.6875,31.875,32.1875,14.351342,662500
2000-02-11,32.1875,32.6875,32.1875,32.5,14.49068,327200
2000-02-14,32.75,33.375,32.4375,32.6875,14.574275,509800
2000-02-15,32.8125,33.25,32.625,33.0,14.713612,517600
2000-02-16,33.0625,33.25,32.5,32.5625,14.518544,377800
2000-02-17,33.0,33.1875,32.375,32.5,14.49068,475400
2000-02-18,32.5,32.5625,32.0,32.125,14.323475,328000
