Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6.96875,6.96875,6.1875,6.3125,6.3125,846800
2000-01-04,6.28125,6.28125,6.0,6.0,6.0,364000
2000-01-05,6.28125,6.4375,6.15625,6.375,6.375,1176000
2000-01-06,6.375,6.5,6.25,6.34375,6.34375,424400
2000-01-07,6.3125,6.625,6.25,6.5625,6.5625,1601400
2000-01-10,6.625,7.125,6.5625,6.96875,6.96875,906200
2000-01-11,7.0,7.0,6.6875,6.8125,6.8125,583600
2000-01-12,6.75,7.0,6.6875,7.0,7.0,1524400
2000-01-13,7.03125,8.09375,7.0,7.96875,7.96875,1907800
2000-01-14,8.03125,8.125,7.5625,7.6875,7.6875,474200
2000-01-18,7.6875,8.0,7.6875,7.78125,7.78125,657800
2000-01-19,7.8125,7.8125,7.0625,7.1875,7.1875,394200
2000-01-20,7.3125,7.5,6.6875,7.4375,7.4375,430000
2000-01-21,7.34375,7.5,7.1875,7.28125,7.28125,308400
2000-01-24,7.4375,7.5625,7.0625,7.5,7.5,330800
2000-01-25,7.3281,7.53125,6.75,7.03125,7.03125,415800
2000-01-26,6.875,7.09375,6.75,6.75,6.75,128600
2000-01-27,6.75,6.8125,6.4375,6.75,6.75,399200
2000-01-28,6.75,7.09375,6.5625,6.5625,6.5625,574600
2000-01-31,6.5625,6.8125,6.5625,6.59375,6.59375,207600
2000-02-01,6.71875,6.8125,6.625,6.6875,6.6875,344600
2000-02-02,6.65625,6.84375,6.65625,6.6875,6.6875,131600
2000-02-03,6.7031,6.71875,6.4375,6.625,6.625,468400
2000-02-04,6.59375,6.6875,6.5625,6.65625,6.65625,310800
2000-02-07,6.625,6.6875,6.5,6.65625,6.65625,268800
2000-02-08,6.65625,6.71875,6.59375,6.65625,6.65625,341200
2000-02-09,6.625,6.78125,6.5,6.5,6.5,415200
2000-02-10,6.71875,6.75,6.5,6.75,6.75,276400
2000-02-11,6.6875,6.71875,6.25,6.25,6.25,1312600
2000-02-14,6.5625,7.0,6.4375,6.875,6.875,523200
2000-02-15,6.875,7.0,6.75,6.8125,6.8125,652800
2000-02-16,6.875,6.9375,6.3125,6.53125,6.53125,627200
2000-02-17,6.48435,6.8125,6.375,6.6875,6.6875,819200
2000-02-18,6.7031,6.71875,6.4375,6.5,6.5,386400
2000-02-22,7.0625,7.25,6.5625,6.75,6.75,1467800
2000-02-23,7.03125,7.375,6.75,7.3125,7.3125,1368000
2000-02-24,7.375,7.5625,7.25,7.46875,7.46875,887400
2000-02-25,7.4375,7.5625,7.375,7.46875,7.46875,414400
2000-02-28,7.59375,8.5,7.4375,8.3125,8.3125,1034200
2000-02-29,8.625,9.375,8.5625,9.375,9.375,1474800
2000-03-01,9.0625,9.40625,8.0,9.09375,9.09375,1331000
2000-03-02,8.78125,8.8125,7.65625,7.84375,7.84375,1091800
2000-03-03,7.875,8.0,7.625,7.75,7.75,469600
2000-03-06,7.75,7.9375,7.625,7.8125,7.8125,350600
2000-03-07,7.75,8.30465,7.6875,7.78125,7.78125,597600
2000-03-08,7.75,7.875,7.53125,7.8125,7.8125,740800
2000-03-09,7.75,8.25,7.5625,8.25,8.25,582800
2000-03-10,8.1875,8.5,8.03125,8.125,8.125,363200
2000-03-13,8.28125,8.3125,7.46875,7.78125,7.78125,348400
2000-03-14,7.92185,7.9375,7.625,7.875,7.875,319200
2000-03-15,7.875,7.9375,7.53125,7.71875,7.71875,232800
2000-03-16,7.625,7.9375,7.5625,7.78125,7.78125,241800
2000-03-17,7.6875,8.125,7.6875,8.0625,8.0625,885400
2000-03-20,8.0,8.15625,7.5,7.5,7.5,311600
2000-03-21,7.6875,8.0,7.5,7.84375,7.84375,174800
2000-03-22,7.9375,8.0625,7.75,8.0078,8.0078,321200
2000-03-23,8.0625,9.125,7.875,8.8125,8.8125,1160200
2000-03-24,8.84375,9.125,8.125,8.5625,8.5625,512400
2000-03-27,8.8125,9.0,8.75,8.9375,8.9375,265200
2000-03-28,9.0,9.03125,8.375,8.46875,8.46875,204600
2000-03-29,8.59375,8.9375,8.1875,8.1875,8.1875,169200
2000-03-30,8.25,8.53125,7.25,7.875,7.875,682000
2000-03-31,8.03125,8.375,7.84375,8.09375,8.09375,402200
2000-04-03,8.0078,8.1875,7.75,7.75,7.75,147200
2000-04-04,7.8125,8.1875,7.25,8.0,8.0,621800
2000-04-05,7.875,8.25,7.75,7.96875,7.96875,156200
2000-04-06,7.9375,8.28125,7.875,8.1875,8.1875,182600
2000-04-07,8.1875,8.25,7.75,8.0625,8.0625,139400
2000-04-10,8.03125,8.15625,7.6875,7.8125,7.8125,217200
2000-04-11,7.8125,8.03125,7.4375,7.6875,7.6875,141600
2000-04-12,7.8125,7.8125,7.4375,7.5,7.5,111000
2000-04-13,7.75,8.0,7.6875,8.0,8.0,223800
2000-04-14,7.5,7.6875,7.34375,7.4375,7.4375,212200
2000-04-17,7.5,7.625,6.5625,6.875,6.875,1140600
2000-04-18,6.96875,7.6875,6.8125,7.5781,7.5781,1013400
2000-04-19,7.6875,7.8125,6.9375,6.96875,6.96875,241000
2000-04-20,7.1875,7.4375,7.03125,7.1875,7.1875,151800
2000-04-24,7.0625,7.25,7.0,7.0625,7.0625,180600
2000-04-25,7.1875,7.28125,7.0,7.25,7.25,267800
