Date,Open,High,Low,Close,Adj Close,Volume
2002-12-11,11.5,12.0,11.25,11.5,7.419952,36719700
2002-12-12,11.5,11.59,11.02,11.18,7.213482000000001,9195600
2002-12-13,11.1,11.5,10.95,11.42,7.368333,7739400
2002-12-16,11.32,11.62,11.13,11.61,7.490924000000001,3836400
2002-12-17,11.6,11.78,11.45,11.5,7.419952,2729900
2002-12-18,11.42,11.43,11.13,11.2,7.2263850000000005,2152800
2002-12-19,11.15,11.2,10.71,10.76,6.942492,6450800
2002-12-20,10.85,10.94,10.56,10.81,6.974753,2930900
2002-12-23,10.71,10.71,10.2,10.4,6.710217,3455900
2002-12-24,10.4,10.45,10.0,10.24,6.606978999999999,3302500
2002-12-26,10.05,10.2,10.0,10.03,6.471488,2019200
2002-12-27,10.0,10.13,9.86,10.13,6.536007,1639400
2002-12-30,10.22,10.55,10.0,10.47,6.755379,2742800
2002-12-31,10.3,10.96,10.3,10.73,6.923137,3730800
2003-01-02,10.75,10.76,10.25,10.5,6.774735000000001,3473000
2003-01-03,10.5,10.75,10.33,10.75,6.936041,1716600
2003-01-06,10.9,11.57,10.85,11.43,7.3747869999999995,4041400
2003-01-07,11.5,12.25,11.4,12.25,7.903860000000001,6823500
2003-01-08,12.05,12.24,11.95,12.2,7.871602,4623100
2003-01-09,12.3,12.95,12.25,12.6,8.129684,9553400
2003-01-10,11.5,11.95,10.7,11.1,7.161866000000001,7554700
2003-01-13,11.15,11.28,10.15,10.23,6.60053,2834700
2003-01-14,10.23,10.35,10.0,10.25,6.613434,1629200
2003-01-15,10.36,10.88,10.19,10.77,6.948944,2588100
2003-01-16,10.98,11.1,10.78,11.01,7.103795,1443400
2003-01-17,10.98,11.0,10.4,10.8,6.9683,2000000
2003-01-21,10.9,10.98,10.21,10.24,6.606978999999999,1165700
2003-01-22,10.34,10.34,9.3,9.52,6.142429,3488500
2003-01-23,9.75,10.15,9.61,10.0,6.45213,2498200
2003-01-24,10.17,10.43,9.8,9.95,6.419868,2772100
2003-01-27,9.8,9.9,9.32,9.35,6.032743,1150600
2003-01-28,9.43,9.71,9.4,9.4,6.065002,1267000
2003-01-29,9.42,9.92,9.4,9.73,6.277923,1174400
2003-01-30,9.79,9.89,9.4,9.4,6.065002,720700
2003-01-31,9.3,9.34,8.99,9.18,5.923057,1402500
2003-02-03,9.23,9.45,9.16,9.17,5.916606,1002400
2003-02-04,9.18,9.18,8.95,9.05,5.839176999999999,1087700
2003-02-05,9.12,9.21,8.98,9.05,5.839176999999999,1233500
2003-02-06,9.1,9.34,9.03,9.05,5.839176999999999,923500
2003-02-07,9.15,9.17,8.96,9.0,5.806916999999999,1069500
2003-02-10,8.75,8.75,7.78,8.7,5.613352,10046400
2003-02-11,8.7,8.93,8.23,8.93,5.761753,2238900
2003-02-12,8.95,8.95,8.18,8.34,5.399215,1726000
