Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,15.0,15.1875,14.6875,15.0,12.501383,432200
2000-01-04,14.875,14.9375,14.3125,14.4375,12.032582000000001,568400
2000-01-05,14.75,14.75,14.3125,14.5625,12.136759,490800
2000-01-06,14.375,14.5625,14.3125,14.5625,12.136759,561900
2000-01-07,14.4375,14.75,14.3125,14.75,12.293026,266600
2000-01-10,14.5625,14.75,14.5,14.625,12.188848,470000
2000-01-11,14.5,14.9375,14.5,14.75,12.293026,277900
2000-01-12,14.75,14.8125,14.0,14.375,11.980492,432300
2000-01-13,14.25,14.9375,14.25,14.875,12.397203,477500
2000-01-14,14.9375,14.9375,14.5625,14.625,12.188848,274400
2000-01-18,14.75,14.75,14.3125,14.4375,12.032582000000001,520300
2000-01-19,14.3125,14.5625,14.1875,14.25,11.876317,660200
2000-01-20,14.3125,14.625,14.3125,14.5,12.084672,556000
2000-01-21,14.5,14.75,14.375,14.4375,12.032582000000001,1097200
2000-01-24,14.5,14.8125,14.4375,14.625,12.188848,658900
2000-01-25,14.5625,15.375,14.5,14.75,12.293026,878400
2000-01-26,14.75,16.125,14.6875,15.5625,12.970184,1525400
2000-01-27,16.25,17.0,16.1875,16.5,13.751520999999999,1427900
2000-01-28,16.125,16.4375,15.75,16.25,13.543163,723000
2000-01-31,16.375,17.8125,16.3125,17.3125,14.428679,1685700
2000-02-01,17.75,17.75,17.0625,17.6875,14.741214000000001,1874500
2000-02-02,17.5,17.5625,17.1875,17.375,14.480769,750500
2000-02-03,17.4375,17.625,17.375,17.5625,14.637035000000001,629100
2000-02-04,17.5,17.75,17.4375,17.4375,14.532858,841400
2000-02-07,17.375,17.875,17.375,17.4375,14.532858,778700
2000-02-08,17.5,17.625,16.75,16.875,14.064055999999999,684200
2000-02-09,16.75,16.8125,16.25,16.5625,13.80361,482700
2000-02-10,16.3125,16.625,16.0625,16.25,13.543163,320800
2000-02-11,16.5,16.5,16.0,16.125,13.438989000000001,314100
2000-02-14,16.0,16.625,15.9375,16.375,13.647344,455700
2000-02-15,16.375,16.8125,16.25,16.625,13.855697,400600
2000-02-16,16.375,16.625,16.25,16.4375,13.699432999999999,207400
2000-02-17,16.3125,16.6875,15.9375,15.9375,13.282720999999999,301600
2000-02-18,16.0625,16.1875,15.4375,15.6875,13.074361999999999,427300
2000-02-22,15.5,16.6875,15.5,16.5,13.751520999999999,381100
2000-02-23,16.375,16.5625,16.125,16.375,13.647344,279900
2000-02-24,16.3125,16.3125,15.5625,16.0625,13.386899,366700
2000-02-25,16.0,16.1875,15.25,15.5625,12.970184,328400
2000-02-28,15.75,15.8125,15.375,15.625,13.022273,251900
2000-02-29,15.4375,15.6875,15.3125,15.625,13.022273,397900
2000-03-01,15.4375,17.25,15.3125,17.25,14.37659,1992700
2000-03-02,17.5,20.75,17.4375,20.125,16.772686,3375200
2000-03-03,20.75,22.125,20.4375,21.9375,18.283272,2213800
2000-03-06,21.9375,22.125,21.3125,21.5625,17.970737,1332600
2000-03-07,22.25,24.3125,22.1875,24.0,20.002213,3750500
2000-03-08,24.875,26.875,24.5625,26.25,21.877419,4482700
2000-03-09,25.75,26.375,24.9375,25.875,21.564884,2179700
2000-03-10,25.75,26.375,25.375,25.8125,21.512795999999998,1527200
2000-03-13,25.0625,25.6875,24.5625,25.0,20.835634,1948700
2000-03-14,24.75,24.75,22.6875,22.9375,19.116695,1144000
