Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.53125,18.625,17.3125,17.5625,11.849464999999999,748800
2000-01-04,17.34375,17.5625,17.0,17.03125,11.491031,1076200
2000-01-05,16.875,17.46875,16.59375,17.0,11.469948,1050400
2000-01-06,16.96875,17.5,16.6875,17.5,11.807299,478200
2000-01-07,17.60935,17.75,17.25,17.375,11.722959,466200
2000-01-10,17.65625,17.875,17.4375,17.5625,11.849464999999999,407600
2000-01-11,17.5,17.78125,17.28125,17.5,11.807299,402400
2000-01-12,17.78125,18.25,17.59375,18.25,12.313325,717200
2000-01-13,18.3125,19.84375,18.29685,19.25,12.988024000000001,1763400
2000-01-14,19.375,19.5625,19.1875,19.53125,13.177781,1019200
2000-01-18,19.40625,19.4375,18.59375,18.78125,12.671757000000001,673600
2000-01-19,18.84375,19.625,18.8125,19.0625,12.861524000000001,371800
2000-01-20,19.28125,19.3125,18.875,19.0625,12.861524000000001,379800
2000-01-21,19.4375,20.09375,19.1875,19.96875,13.472972,1067200
2000-01-24,20.0625,20.9375,19.625,19.75,13.325381,1131000
2000-01-25,19.71875,21.25,19.25,21.1875,14.29527,1019800
2000-01-26,21.1875,21.3125,19.8125,21.0,14.168752,984000
2000-01-27,20.9375,21.4375,19.59375,19.625,13.241039,1275600
2000-01-28,19.6875,19.6875,18.1875,18.25,12.313325,1215800
2000-01-31,18.125,19.4375,17.9375,19.4375,13.114535,851600
2000-02-01,19.3125,19.65625,18.6875,19.5625,13.198873,807200
2000-02-02,19.5625,19.875,19.0,19.8125,13.36755,1163000
2000-02-03,20.0,20.0625,18.75,19.21875,12.966936,1115800
2000-02-04,19.375,19.375,18.40625,18.5625,12.524169,577600
2000-02-07,19.40625,19.40625,18.28125,18.34375,12.376581,576400
2000-02-08,18.59375,18.625,18.25,18.34375,12.376581,549600
2000-02-09,18.34375,18.75,17.8125,17.96875,12.123569,597400
2000-02-10,18.0,18.4375,17.75,17.84375,12.039223,464200
2000-02-11,17.8125,18.0,17.5,17.54685,11.838911,425800
2000-02-14,17.67185,17.71875,16.59375,16.84375,11.364525,1000000
2000-02-15,16.75,18.0,16.5625,17.65625,11.912722,758600
2000-02-16,17.625,18.0,17.1875,17.6875,11.933806,1428800
2000-02-17,17.6875,17.78125,16.46875,16.65625,11.238017999999999,753600
2000-02-18,16.5625,16.75,16.1875,16.21875,10.942832000000001,669800
2000-02-22,16.625,16.65625,16.125,16.3125,11.006091,464000
2000-02-23,16.21875,16.6875,16.125,16.15625,10.900668,689800
2000-02-24,16.25,17.6875,16.09375,17.6875,11.933806,1495400
2000-02-25,17.71875,17.75,16.9375,17.09375,11.533199,664200
2000-02-28,17.15625,17.3125,16.59375,17.125,11.554289,873000
2000-02-29,17.125,17.21875,16.4375,16.46875,11.11151,1204600
2000-03-01,16.65625,16.90625,16.4375,16.65625,11.238017999999999,791200
2000-03-02,16.75,17.28125,16.46875,17.15625,11.575374,1276600
2000-03-03,17.375,17.375,16.875,17.03125,11.491031,674600
2000-03-06,17.0,17.40625,16.75,16.8125,11.343438,633000
2000-03-07,17.0,17.03125,16.1875,16.28125,10.985005000000001,781200
2000-03-08,16.125,16.15625,15.25,15.4375,10.415723,1486000
